"Date","Time","Media Type","Site Name","Mention URL","Title","Mention Content","Sentiment","Country"
"2022-03-25","18:23:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1974298&i=2600","Best smoker barges 1-5 large [Vol 21]","loquacious said: https://www.autotrader.co.uk/car-details/202203223... I done a buy! Okay, it's over the limit but it's the first Xj that really is lovely! Not silver (bonus!) and the inside is like new. comes with a warranty, new MOT and service from a local dealer that is well respected, family-owned and has been going for years, though I've never bought a car from them. The first car I've ever bought without even bothering to drive first, looks so genuine (the previous owner traded it in for an XF - fool!) huge portfolio of paperwork and history and only 3 blobs of the dreaded alloy corrosion and all on the leading edge of the passenger side rear door, top, middle and bottom! Insured it for the 1st of April (£600 a year to tax so I'm not wasting even one day!) for £300 with zero no claims (all on my other car) and just had a great chat with a lovely lass at Hastings direct as the new system with banks screwed the system up and I had to ring them. Really looking forward to getting it... but the sun is shining and the SLK is open top, do I really want a closed car? Hell yes! Very elegant.","positive","United Kingdom"
"2022-03-25","18:05:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1974298&i=2600","Best smoker barges 1-5 large [Vol 21]","BlueMR2 said: loquacious said: https://www.autotrader.co.uk/car-details/202203223... I done a buy! Okay, it's over the limit but it's the first Xj that really is lovely! Not silver (bonus!) and the inside is like new. comes with a warranty, new MOT and service from a local dealer that is well respected, family-owned and has been going for years, though I've never bought a car from them. The first car I've ever bought without even bothering to drive first, looks so genuine (the previous owner traded it in for an XF - fool!) huge portfolio of paperwork and history and only 3 blobs of the dreaded alloy corrosion and all on the leading edge of the passenger side rear door, top, middle and bottom! Insured it for the 1st of April (£600 a year to tax so I'm not wasting even one day!) for £300 with zero no claims (all on my other car) and just had a great chat with a lovely lass at Hastings direct as the new system with banks screwed the system up and I had to ring them. Really looking forward to getting it... but the sun is shining and the SLK is open top, do I really want a closed car? Hell yes! Looks like a nice example . Does indeed, but aren't you the fella with dogs? How's that gonna work, will they be OK?","positive","United Kingdom"
"2022-03-25","17:31:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1974298&i=2600","Best smoker barges 1-5 large [Vol 21]","loquacious said: https://www.autotrader.co.uk/car-details/202203223... I done a buy! Okay, it's over the limit but it's the first Xj that really is lovely! Not silver (bonus!) and the inside is like new. comes with a warranty, new MOT and service from a local dealer that is well respected, family-owned and has been going for years, though I've never bought a car from them. The first car I've ever bought without even bothering to drive first, looks so genuine (the previous owner traded it in for an XF - fool!) huge portfolio of paperwork and history and only 3 blobs of the dreaded alloy corrosion and all on the leading edge of the passenger side rear door, top, middle and bottom! Insured it for the 1st of April (£600 a year to tax so I'm not wasting even one day!) for £300 with zero no claims (all on my other car) and just had a great chat with a lovely lass at Hastings direct as the new system with banks screwed the system up and I had to ring them. Really looking forward to getting it... but the sun is shining and the SLK is open top, do I really want a closed car? Hell yes! Looks like a nice example .","positive","United Kingdom"
"2022-03-25","17:22:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1974298&i=2600","Best smoker barges 1-5 large [Vol 21]","https://www.autotrader.co.uk/car-details/202203223... I done a buy! Okay, it's over the limit but it's the first Xj that really is lovely! Not silver (bonus!) and the inside is like new. comes with a warranty, new MOT and service from a local dealer that is well respected, family-owned and has been going for years, though I've never bought a car from them. The first car I've ever bought without even bothering to drive first, looks so genuine (the previous owner traded it in for an XF - fool!) huge portfolio of paperwork and history and only 3 blobs of the dreaded alloy corrosion and all on the leading edge of the passenger side rear door, top, middle and bottom! Insured it for the 1st of April (£600 a year to tax so I'm not wasting even one day!) for £300 with zero no claims (all on my other car) and just had a great chat with a lovely lass at Hastings direct as the new system with banks screwed the system up and I had to ring them. Really looking forward to getting it... but the sun is shining and the SLK is open top, do I really want a closed car? Hell yes!","positive","United Kingdom"
"2022-03-12","12:34:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=70&t=1977862","Aston Martin Insurance","Insurance used to be a profession, with underwriters considering risk, then calculated a sensible premium. Many years ago, a new system was introduced. How much can we increase the renewal premium, before the punter realises they are being taken for a mug. This is an entertainment topic for a wet Sunday. Here are 10 years of premium figures, showing how this new insurance system operates and which would equally apply to Aston Martins, but the easiest data available is for our garden rubbish car. 2012 Zurich renewal ........ £224-80 ..... (not renewed) 2012 AA ............................ £118-16 ....... (incl. free breakdown) 2013 .................................. £122-55 2014 .................................. £147-92 2015 .................................. £115-67 2016 .................................. £131-24 2017 AA renewal .............. £187-46 ...... (not renewed) 2017 L&G .......................... £112-34 2018 .................................. £123-74 2019 .................................. £120-99 2020 .................................. £120-99 ...... (L&G transferred their motor insurance to Budget) 2021 ................................... £119-99 2022 Budget renewal........ £148-80 ...... (not renewed) 2022 Markerstudy ............ £ 98-59 ....... (also includes £20 Halfords voucher) So there we are £ 224-80 in 2012 ........................... £ 78-59 now. How is that for negative inflation? Makes a change. Don't let the ~~~~~~~ swindle you. Can you beat that sequence ? Happy Sunday.","neutral","United Kingdom"
"2022-03-08","21:29:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=40","Use of motor vehicle without third party insurance","Pica-Pica said: Sheepshanks said: Pica-Pica said: We used to be with NFU Mutual, and that covered 3rd party only for you to MOVE another car briefly, if it was impeding your cars exit. I think that's an insurance folk-lore thing - I've been told the same thing, it's for moving a car when leaving a party as the owner is drunk etc. Does such a restriction appear in your insurance documents? Read my post again, I am with LV= now, so don’t care. Sure - but you mentioned an insurer by name and what you said is completely wrong. The MOVE part of the policy gave you fully comp cover to move another car and you will have had the broader 3rd party DOC cover too.","neutral","United Kingdom"
"2022-03-08","16:14:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1975834","Getting a car insurance quote from NFU mutual.","They do this as the Underwriting performance of their motor book will be much better than if they accepted business over the net. People (not all) find it easier to lie about various things online than over the phone, and an experienced call handler will be able to read between the lines and ask more probing questions if needed. This means they are then able to price the risk as it actually is rather than price it based on what someone thinks they want to hear. This results in a far better client base.","neutral","United Kingdom"
"2022-03-08","16:07:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=40","Use of motor vehicle without third party insurance","Sheepshanks said: Pica-Pica said: We used to be with NFU Mutual, and that covered 3rd party only for you to MOVE another car briefly, if it was impeding your cars exit. I think that's an insurance folk-lore thing - I've been told the same thing, it's for moving a car when leaving a party as the owner is drunk etc. Does such a restriction appear in your insurance documents? Read my post again, I am with LV= now, so don’t care.","neutral","United Kingdom"
"2022-03-08","15:32:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1975834","Getting a car insurance quote from NFU mutual.","GasEngineer said: Thanks for the replies. NFU is about £100 a year more expensive than my Aviva renewal quote. Is the better service worth it? Aviva were brilliant for me when I had to claim. They won't touch me now though","neutral","United Kingdom"
"2022-03-08","15:28:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=23&t=1975834","Getting a car insurance quote from NFU mutual.","Thanks for the replies. NFU is about £100 a year more expensive than my Aviva renewal quote. Is the better service worth it?","neutral","United Kingdom"
"2022-03-08","11:41:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=231&t=1971179&i=20","GT4 insurance","Just a heads up. Just had my multi car policy renewal quote from NFU Mutual. The GT4 has gone up from circa £500 to £2800 I’ve been I discussion with them for 2 days and it appears the reason is the reclassification of the car by the underwriters at the start of the year. Class has changed from SR to SS. NFU are a fantastic company and their customer service is excellent. But very disappointed that they have made such a drastic change in the classification which means I’ll obviously have to remove that car from the policy.","neutral","United Kingdom"
"2022-03-07","23:03:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=20","Use of motor vehicle without third party insurance","SS2. said: NFU Mutual policy documentation said: Movement of Other Cars If YOU (or any employee authorised by YOU) moves a car not insured by this policy, which is parked in a position which obstructs the legitimate path of the CAR, WE will pay all damages and costs for which YOU are legally liable, if moving that car causes: a) INJURY to any person; or b) damage to that car or any other property. However, WE will not pay if there is any other insurance covering the INJURY or damage Provided that, in respect of damage to property, the maximum amount payable for any one claim or a number of claims arising out of one cause, will be £20,000,000 exclusive of COSTS £25,000,000 inclusive of COSTS Obviously a policy for Farmers...Doesn't say you have to drive the other car! https://www.youtube.com/watch?v=g_OmkN21LRc","neutral","United Kingdom"
"2022-03-07","22:38:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=20","Use of motor vehicle without third party insurance","SS2. said: NFU Mutual policy documentation said: Movement of Other Cars If YOU (or any employee authorised by YOU) moves a car not insured by this policy, which is parked in a position which obstructs the legitimate path of the CAR, WE will pay all damages and costs for which YOU are legally liable, if moving that car causes: a) INJURY to any person; or b) damage to that car or any other property. However, WE will not pay if there is any other insurance covering the INJURY or damage Provided that, in respect of damage to property, the maximum amount payable for any one claim or a number of claims arising out of one cause, will be £20,000,000 exclusive of COSTS £25,000,000 inclusive of COSTS That's more than DOC - part b) is granting you fully comp cover on the car being moved. DOC will be on the Certifcate of Insurance - I'm pretty sure it's standard with NFU.","neutral","United Kingdom"
"2022-03-07","22:02:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=20","Use of motor vehicle without third party insurance","NFU Mutual policy documentation said: Movement of Other Cars If YOU (or any employee authorised by YOU) moves a car not insured by this policy, which is parked in a position which obstructs the legitimate path of the CAR, WE will pay all damages and costs for which YOU are legally liable, if moving that car causes: a) INJURY to any person; or b) damage to that car or any other property. However, WE will not pay if there is any other insurance covering the INJURY or damage Provided that, in respect of damage to property, the maximum amount payable for any one claim or a number of claims arising out of one cause, will be £20,000,000 exclusive of COSTS £25,000,000 inclusive of COSTS","neutral","United Kingdom"
"2022-03-07","21:57:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=20","Use of motor vehicle without third party insurance","Pica-Pica said: We used to be with NFU Mutual, and that covered 3rd party only for you to MOVE another car briefly, if it was impeding your cars exit. I think that's an insurance folk-lore thing - I've been told the same thing, it's for moving a car when leaving a party as the owner is drunk etc. Does such a restriction appear in your insurance documents?","negative","United Kingdom"
"2022-03-07","21:46:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1977040&i=20","Use of motor vehicle without third party insurance","Sheepshanks said: Some companies only do it on request - daughter is with Aviva and they added it (at no cost) when she asked. My wife took a new LV= policy a couple of weeks ago and that had DOC without asking. . We used to be with NFU Mutual, and that covered 3rd party only for you to MOVE another car briefly, if it was impeding your cars exit. We changed to LV= for price reasons, and, yes, that does cover driving other vehicles.","neutral","United Kingdom"
"2022-03-06","23:00:00 +0000 GMT","Forum","Talk Morgan Forums","http://www.talkmorgan.com/ubbthreads.php/topics/734114/21/the-super-3","19","The love hate relationship with the Super 3 will continue for as long as the car is in production, much like with the 5 speeder.Personally, i`m glad that i have 5 speeder.Something that nobody has considered, is, will insurance companies insure your car in your area,From personal experience, living in London, i cannot get insurance unless i have a garage. Not much use when living in terraced house.Luckily my car although new and untested will be soon exported to Malaysia. Where my wife has a house with a courtyard.When i spoke with Adrian Flux last year there was a chap in Birmingham with same problem. I wonder how he got on?Over the last year i have been unsuccessful in getting insurance from: Gott&Wynne, headley, Hegerty, Adrian flux to name but a few.Although Adrian flux did say last year they would insure it if left in the street but there would be no cover between the hours of 2200 and 0600.Peter best, and NFU mutual also had no interest.Those insurance companies that do list a Morgan 3 wheeler are only interested in cars made before the the current 5 speeder.Of course if there are insurance companies out there looking, they would do well to let us know.Food for thought.","neutral","United Kingdom"
"2022-03-04","20:59:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1976554","Using spouse's company car for work","My last few policies have been absolutely fine insuring both me and my wife for business use. On all the questionairres I’ve filled in, it asks separately for both the policy holder and spouse (& any named drivers) your employment status, Job title / sector, and if business use is required. Top of my head I’m with ESure now, and last year was Admiral. Extra premium was absolutely minimal, about £20 / year. Admiral asked how many miles were split between business / personal. No separation required with ESure.","neutral","United Kingdom"
"2022-03-04","20:59:00 +0000 GMT","Forum","PistonHeads Gassing Station Forum","https://www.pistonheads.com/gassing/topic.asp?h=0&f=10&t=1976554","Using spouse's company car for work","Ham_and_Jam said: My last few policies have been absolutely fine insuring both me and my wife for business use. On all the questionairres I’ve filled in, it asks separately for both the policy holder and spouse (& any named drivers) your employment status, Job title / sector, and if business use is required. Top of my head I’m with ESure now, and last year was Admiral. Extra premium was absolutely minimal, about £20 / year. Admiral asked how many miles were split between business / personal. No separation required with ESure. Was it a company car? If it was a personal car insured personally, it's not really relevant to this discussion.","neutral","United Kingdom"
"2022-03-03","17:19:00 +0000 GMT","Forum","The DIBB Forum","https://www.thedibb.co.uk/forums/showthread.php?s=37dbbf7a3261cb09fa72c64bbb44ca66&t=1216834&page=2","When will testing end?","Originally Posted by Sue We also go end April and learned yesterday that the drive through we used before at MAN has closed due to lack of business (Collinson). It was really handy and very efficient for us. They still have the walk in but that means a £6 parking charge on top of the test costs See more... I will do on line again I think. Perhaps if I sort it now I won't need it.","positive","United Kingdom"
"2022-03-03","17:04:00 +0000 GMT","Forum","The DIBB Forum","https://www.thedibb.co.uk/forums/showthread.php?s=37dbbf7a3261cb09fa72c64bbb44ca66&t=1216834&page=2","When will testing end?","Originally Posted by EssexSue I know this! We go end of April so May 1st. See more... We also go end April and learned yesterday that the drive through we used before at MAN has closed due to lack of business (Collinson). It was really handy and very efficient for us. They still have the walk in but that means a £6 parking charge on top of the test costs","positive","United Kingdom"
"2022-03-02","13:45:00 +0000 GMT","Forum","Ford Owners Club Forums","https://www.fordownersclub.com/forums/topic/133613-insurance-loyalty-penalty-banned/","Insurance loyalty penalty banned?","1 hour ago, JImpster said: No no mention of breakdown cover, although last year they did offer it after i'd bought the insurance for a stupid price, hoping they do so again this year i may sign although i dont do that much mileage Ok the reason I ask is because when I took out AA insurance recently they offered breakdown cover for £14 excluding home visit with just 1 annual call out.I’ve got AA cover excluding home visit for £59.69p unlimited call outs.My car is that unreliable ha ha (joking)","neutral","United Kingdom"
"2022-03-01","10:30:00 +0000 GMT","Forum","Tesla Motors Club Forum","https://teslamotorsclub.com/tmc/threads/model-y-uk-delivery.245526/page-233","Model Y UK Delivery","Adam1983 said: I’ve just got off a Live Chat with Esure. Currently have a 2020 BMW X5 30d. They said the model Y isn’t on their system yet but it should be soon. They are using the model X 75D as the comparison car. Been quoted £91.01 to swap over including £26 admin fee. Policy runs out in July. They will produce a manual insurance certificate showing Model Y long range. Online portal will show the car as Model X 75D until the MY is on their system Sounds like I got some duff info from the advisor I spoke to (or things have changed in the last week or so) but good it's worked out better for you","neutral","Not available"
