"Date","Time","Site Name","Mention URL","Title","Mention Content","Star Rating"
"2022-04-06","08:23:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624d3ff72b3c3c43cfca1e2d","Ageas : Tatiana was the most helpful insurance…","Tatiana was the most helpful insurance lady that I have ever dealt with. She was exceptionally kind and patient with me, and I’m usually that person just sticks with the same company, and with 11 years at my previous car insurance company a lot has changed in that time. She was absolutely wonderful.","100"
"2022-04-05","19:12:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624c86722b3c3c43cfc9b7d3","NFU Mutual : An excellent service was provided after…","An excellent service was provided after a drunk driver wrote off both of our cars. We received very reasonable payouts for both both promptly. The staff we dealt with were very helpful and knowledgeable. I will be keeping my car insurance with NFU.","100"
"2022-04-05","14:47:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624c4882c7628b203ba3373a","Ageas : Car insurance","Excellent service","100"
"2022-04-05","09:18:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624bfb592b3c3c43cfc9002c","Ageas : Good price, clear and easy to use website, prompt response","I came to Ageas for car insurance through a comparison tool by MoneySavingExpert. Not only was Ageas offer a good price, but their website was easy to use and their responses very prompt. Couldn't ask for better!","100"
"2022-04-04","18:17:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624b283f2b3c3c43cfc8847d","Sainsbury's Bank : Car Insurance","Car Insurance - Called to notify of the errors on my policy. customer service staff kept insisting there was no error that was obvious! I had to cancel the policy. Very hostile staff","20"
"2022-04-04","17:44:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624b2076c7628b203ba24e1a","Geoffrey Insurance : Competitive Pricing","Fingers crossed that I don’t have to make a claim! Until it happens, I can only really feedback on the cost of my car insurance. These guys were much better value than my previous insurance company who put my premium price up by over 30% on last year, despite no claims etc. A significant saving was made by switching to Geoffrey Insurance.","100"
"2022-04-04","15:05:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624afb3ac7628b203ba21c22","esure : Horrendous, Frustrating Customer Service","Having had a no fault accident my legal company is still waiting for documents from esure to recover from third party. 10 MONTHS LATER AND AFTER SEVERAL REQUESTS. Made several calls myself to esure. Listened to recorded music and message each time for one and a half hours. No answer. Tried chat line, 28th in queue, when eventually got to number 1 it said chat not available. Unable to get through to make a complaint. DO NOT USE ESURE","20"
"2022-04-04","14:39:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624af515c7628b203ba21447","NFU Mutual : Nfu let me down","My catalytic converter was stolen I was not given a courtesy car I am elderly and was left without transport I had to phone and phone it was sorted eventually but at over £400 to me and I am certain my premium will increase although I have been an NFU customer for 30 years plus…they let me down I had comprehensive insurance.","20"
"2022-04-04","10:57:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624ac10b2b3c3c43cfc7fde7","Sainsbury's Bank : Dont use Sainsbury's Car Insurance!!","Dont use Sainsbury's Car Insurance!! Absolutely shocking behaviour from the customer service team on two occasions, the last straw is that the last call adviser put the phone down on me after trying to get through for over 1 hour, fuming is an understatement. Previous year documents, not available on my online portal so not able to find out who is investigating my claim that was raised in June 2021!!! And still none the wiser what the outcome was. Honestly, get car insurance else where, stick to selling food Sainsbury's...shocking! Please feel free to contact me before this is handed over to the financial complaints ombudsman","20"
"2022-04-03","19:45:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6249eb4bc7628b203ba16471","esure : car insurance quote was easy…","Getting a car insurance quote was easy and simple. And very competitive.","100"
"2022-04-03","16:41:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6249c01cc7628b203ba13e6a","Swinton Insurance : Easy no hassle why to insure my…","Easy no hassle why to insure my motorbike","100"
"2022-04-03","16:21:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6249bb5c2b3c3c43cfc76729","esure : Very good price for my car insurance","Very good price for my car insurance","20"
"2022-04-03","15:56:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6249b5982b3c3c43cfc76266","Geoffrey Insurance : Incredibly cheaper insurance","I found Geoffrey car insurance incredibly cheaper than my normal company who I'd been with for years..They were more than helpful and patient I like how I can access my policy whenever I like...I can't recommend them enough I'm more than happy with their service.","100"
"2022-04-03","12:00:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62497e43c7628b203ba10a5b","Ageas : A much better car insurance deal.","A much better car insurance deal. The website is very easy to use. I switched from what I thought was a good deal, to a much cheaper offer from Ageas with the same level of cover, saving nearly £100 in the process.","100"
"2022-04-03","09:11:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624956c4c7628b203ba0ecc5","Ageas : Bought insurance for my car","Bought insurance for my car to start end of the month, put all the correct details in and then a few days later had a letter sent to the house saying they have cancelled my insurance and are not willing to negotiate any further. They also sent me £20 less than what I paid for the insurance. All the details were in order and they didn’t give me a chance to prove this! SHOCKING SERVICE","20"
"2022-04-03","08:26:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62494c422b3c3c43cfc7128c","Ageas : Cheap car insurance","Cheap car insurance. What it will be like if I make a claim will be the tester.","100"
"2022-04-02","12:45:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6248375dc7628b203ba0524a","Lloyds Bank : Barely present","I've had mixed experiences with Lloyds Bank. Polite and helpful assistance in navigating some complex issues. A measure of incompetence where the staff were at least well-meaning. Also, an occasion where a branch manager informed me that ""anyone can fake a passport"" and went on to scream at me because I was unable to reproduce my signature to his liking. Of late, Lloyds has bet the stables on the flimsy prefab that is Internet Banking, and has been closing down branches. Pity the poor customer who still deals in cash. I have turned-up at the Southend high-street branch on three occasions over the past year, or so, to find it closed, twice on account of COVID; once because it was a bit windy. One sympathises up to a point, but when every other bank and business on the same high-street is managing to work around these issues and remain open, one has to wonder about the management of this particular branch and the motivation of the staff. The solution offered in the laminated sign stuck up on the door is to make use of the Post Office - certainly no COVID there. This overlooks the fact that the Post Office in Southend is similarly understaffed - sometimes with only one person on the counter. I queued for 45 minutes the last time I went there. It strikes me as disingenuous of Lloyds to signpost their customers to an alternate service and consider the problem taken care of. The thing that I find most galling is that, when my local branch does close its doors unexpectedly, there is no way of knowing until I have walked 2 miles to find the door locked. They waste my time. They should be more proactive in alerting their customers to any changes in their opening hours. There is, at present, a gross misalignment between the syrupy claims, made by Lloyds Bank in its expensive-looking commercials, to be right by the side of its customers throughout their lives, and the spartan reality, in which the bank has assumed the role of an absent parent who has abandoned their responsibilities to make a go of becoming an Internet celebrity. I never thought the day would arrive when I would unload impotent torrents of foul language at the Lloyds Bank mascot whenever it made an appearance in a TV advert, and yet here we are. I am not sure where Lloyds is. Certainly not where I need them to be.","40"
"2022-04-02","10:59:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62481e75c7628b203ba03d3d","esure : Very poor customer services","Very poor customer services. I called in to pause my unsure as I was traveling abroad and I was advised only that it has to be for minimum 2 weeks time. Mr Scott said he will leave the notes on account and all I have to do is to call back and we will refund any premium charged till your return date. When I called now to unpause my insurance, I have been told that there is no note on account and it will take up-to four days to listen to call and get back to me. I was also warned that if I haven’t put my car on sorn which I wasn’t advised at the first instance, they might not refund it. Lady was very rude and unprofessional. I will cover my remaining months with them and will never get insurance from them again ever. I feel I have been lied and fooled.","20"
"2022-04-02","09:52:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62480ed1c7628b203ba02f07","esure : Esure is simply the best value for…","Esure is simply the best value for money motor insurance I have seen in years.And that is the reason that I have renewed again and will continue to do so in the future.","100"
"2022-04-02","08:18:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6247f8b7c7628b203ba01dc7","esure : Cheapest quote going!","Esure came up top with cheapest quote for car insurance. I bought the policy online. It was easy to navigate around the quote, I got what I needed and understood the quote, and purchased it. Thank you.","100"
"2022-04-02","08:13:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6247f795c7628b203ba01cf6","esure : Very easy to switch car insurance and…","Very easy to switch car insurance and best price","80"
"2022-04-01","21:43:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6247640c2b3c3c43cfc61985","One Call Insurance : It gets worse.","All well until I needed to make a claim. 4 months so far into a non-fault accident. The amount of phone calls i've had to make to markerstudy and several other departments and the length of time to try to resolve has been staggering. I have now sold the vehicle and paid cancellation fee. One call then emailed me the following day saying I owe a further £137. I am still £650 down on my excess which I fully expect to have to chase myself. YOU CANNOT SPEAK TO ANYONE on the phone, has to be done via webchat which is very time consuming and not practical if you are not sat at a computer for hours on end. In all honesty the ongoing claim has beem one of the most challenging and stressful things I have ever had to deal with. I will be pursuing a complaint with the FCA over my experience. Truly awful.","20"
"2022-04-01","19:56:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62474ad5c7628b203b9fd7e2","esure : Great price and service Esure","Great price and service able to use my company car NCD - thanks","100"
"2022-04-01","18:39:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624738d5c7628b203b9fc515","Swinton Insurance : Good Car insurance","I was emailed a reminder for my motorcycle insurance which led to several offers from various companies. I chose Swinto as I’d been with them before and from what they offered I believe they provided the most competitive policy and price.","80"
"2022-04-01","17:56:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62472ea82b3c3c43cfc5e5bd","Crystal Ski Holidays : Zero back up from company when a problem occurs","I Will add more to this review but I definitely would not recommend Crystal Ski holidays. My wife had an accident skiing and fractured her arm. I rang our crystal ski rep to ask for some help and advice on our journey home as we had a 4 hour train journey to the airport and 3 changes of trains. Our crystal rep (spoke very briefly to us at the airport) was totally uninterested and when I rang her, she already knew of my wife’s injury but didn’t contact us to ask if we were ok or required assistance , I was told that although it was our reps day off , she had to log the incident so would do it as her contract was finishing and she was heading home the same day as we were supposed to go home (at this stage I did not know if my wife required surgery and would need to stay in Switzerland for longer than our initial stay) . I was told that if we wanted assistance because of my wife’s injury, contact my insurance company. Crystal did not contact us to ask if my wife was well enough to travel home or if our insurance company was able to arrange transportation from our accommodation to the airport. I would not recommend travel with this company again as we had no back up at all in the case of an emergency. Update, We are safely home with the help of our insurance company (NFU Mutual who have been excellent with their help) with no help at all from crystal ski holidays, as far as Crystal Ski are aware, my wife could be having surgery for her arm and still in hospital!! We booked through this company to have some back up if we did have a problem or issue but unfortunately when we needed them, they didn’t want to know so I definitely can not recommend this company.","20"
"2022-04-01","17:26:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/624727aac7628b203b9fb12e","Swinton Insurance : Swinton Car Insurance","Excellent easy to use use site at a very competitive price point with a premium policy of tailored extras if required.","80"
"2022-04-01","15:59:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6247133ac7628b203b9f96fd","Autonet Insurance : Classic car insurance","Super price, extra cover over other companies at no extra price. Easy to apply, What’s not to like.","100"
"2022-04-01","15:36:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/62470dd32b3c3c43cfc5bbbf","Ageas : Everything went Well everyone was very…","Everything went Well everyone was very helpful I was very happy to get my car insurance thank you","100"
"2022-04-01","15:12:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6247083cc7628b203b9f88a2","esure : Online car insurance","Esure came out on top of car insurance companies found by confused.com and easy to complete on line TMc.","80"
"2022-04-01","14:24:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246fd232b3c3c43cfc5a7ea","Ageas : I bought my car insurance through one…","I bought my car insurance through one of the customer service sales team. She was so helpful and explained everything clearly to me and it went through smoothly. Thanks","100"
"2022-04-01","13:33:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246f11dc7628b203b9f6c48","Swinton Insurance : I chose Swinton for my car insurance","I chose Swinton for my car insurance. They were the best price, and the online application process was very easy to complete. Very happy with the service provided.","100"
"2022-04-01","13:10:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246ebd2c7628b203b9f6590","esure : Straight forward Comprehensive…","Straight forward Comprehensive insurance for my car. Lowest price on the Market and couldn't be better. thank you","100"
"2022-04-01","12:48:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246e69c2b3c3c43cfc58ce1","Hastings Direct : Dishonest quotes via comparison sites","Dishonest quotes via comparison sites My car insurance is due for renewal. Used compare the market to get quote comparisons. Run the quote 3 times over a period of 4 days. Each time, Hastings Direct came back with a competitive quote of £259. However, on choosing to proceed with the quote and being transferred to their website, suddenly the price jumps by over 20% to £312, with no changes and no explanation. Used their online chat to ask why and the agent responded that they 'use real time pricing', so the premium can change from what's shown on the comparison site. However, I re-ran the quote again on Compare the Market and yet again, it returned Hastings Direct with a premium of £259 - so 4 times in less than a week the same premium quoted. Obviously artificially low premium shown on the comparison site to tempt you, but they clearly have no intention of honouring the premium shown. Appalling business practice in my opinion.","20"
"2022-04-01","12:37:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246e3e4c7628b203b9f5b6a","esure : We had our garage broken into and had…","We had our garage broken into and had our ebike stolen. Esure were easy to deal with, swift in dealing with the claim and also set us up with another company who replaced our garage door. Made a difficult time a lot smoother.","100"
"2022-04-01","11:23:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246d2bdc7628b203b9f4677","Hastings Direct : Car insurance","This company was very helpful when I applied for my car insurance. Thankyou.","100"
"2022-04-01","10:47:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246ca28c7628b203b9f3b9d","Ageas : My first day with this company for car insurance is…","My first day with this companyfo is today so I cant really give a fed back at the moment , but as for price and easy way to get the insurance 95%out of 100.","80"
"2022-04-01","10:42:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246c9042b3c3c43cfc567d5","Autonet Insurance : Car Insurance","Easy and decent price.","100"
"2022-04-01","09:52:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246bd642b3c3c43cfc559b0","Swinton Insurance : It was easy to buy the car insurance.I…","It was easy to buy the car insurance.I just feel it could be done more streamlined ,with a few less questions.","100"
"2022-04-01","08:33:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6246aae3c7628b203b9f1991","Hastings Direct : It was so easy to use the site and…","It was so easy to use the site and lovely to speak to genuine people after my last car insurance experience","100"
"2022-03-31","19:30:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245f360c7628b203b9ebb78","Markerstudy : KEEP AWAY!!!! ENTER AT YOUR OWN PERIL....YOU HAVE BEEN WARNED!!!!","I totally agree with everyone's complaints before me. There's not much more I can add to the reviews that's not been said previous. My story briefly. Exhaust was stolen. Took a week to collect van. Then the courtesy van was not like for like eg my jumbo transit to a combo hire van. So I had to cancel scheduled work. I found out that my van was at the wrong repair garage for 3wks waiting for it to be collected & taken to the correct repair shop, & it was me who tracked it down & arrange the collection. Nobody from the garage or I could get hold of Markerstudy to sort. Then I had to pay the VAT of the cost of the works. Yes, I could claim it back but I had no work for over 4wks. No work, no money. Then they charged me for cancelling my insurance. Inbetween all this, I was on hold for hours & hours.... then cut off.......or told to call another number. Keep away, enter at your own peril. They may be cheaper than most. But this is certainly the old 'you get what you pay for' phrase. Total embarrassment from start to finish.","20"
"2022-03-31","19:26:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245f2502b3c3c43cfc4e797","Hastings Direct : No courtesy car supplied,when they knew I had to have one","Registered my claim online on Sunday with Hastings Direct. On Monday I was contacted by Vizion Network who were handling the claim. I confirmed that I would need a courtesy car. On Tuesday Vizion Network called for photos of my car. I was told that the garage would arrange a courtesy car. Thursday the garage called. They arranged to collect my car that day. I was told they didn't supply courtesy cars as they had a contract with Enterprise and they would be in touch. I didn't hear from Enterprise on Friday so called the garage. I was advised to call Hastings Direct to get a courtesy car. They put me through to Vizion Network who told me to speak with the garage. I kept getting passed to each different company and no one took any responsibility. At 4.30pm on Friday Hastings Direct said I would not get a courtesy car as there was a shortage. I had plans to travel to Devon very early Saturday and this was not what I wanted to hear. No one suggested that if I could get a car they would reimburse me. Why was I not told about the issue when I made my claim? I specifically took out an insurance policy with a courtesy car included but the insurance company did not honour this. I am seeking compensation for all the stress I experienced and spending all day calling up the three companies involved.","20"
"2022-03-31","17:56:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245dd32c7628b203b9e9ef0","Hastings Direct : Excellent experience of buying motorbike insurance","Bought my household motorbike insurance with Hastings Direct through compare the market and they were the best by far for price and coverage and have a very user friendly portal to access all your docs etc","100"
"2022-03-31","17:44:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245da87c7628b203b9e9b1b","Zenith Insurance : Happy new customer","I am a new customer to Zenith Insurance. Their quote for car insurance was competitive and when I spoke to their customer services the phone was answered quickly and my call was handled efficiently.","100"
"2022-03-31","17:35:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245d8462b3c3c43cfc4c54f","Swinton Insurance : renewed my van insurance with Swinton 5…","renewed my van insurance with Swinton 5 weeks ago phoned up to change my policy to a new van but they said the insurance company couldnt give me a price . but someone would ring me the next day to sort it ... guess what , no one rang me ! so i had to ring them after work the day before i picked up the van to try and sort it . I was told the only way to do it was for Swinton to cancel my policy which cost me £85 and re insure the van with a company that would insure the new van , then had the cheek to charge me £40 to set up the new policy !! So £125 out of pocket in 5 weeks through no fault of my own ! Not impressed","20"
"2022-03-31","17:31:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245d759c7628b203b9e96b5","Hastings Direct : Car insurance","Very helpful in taking out a new car insurance, and cheaper than others","100"
"2022-03-31","17:28:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245d6bfc7628b203b9e95e4","Zenith Insurance : IMO, About Zenith Car Insurance.","Zenith Car Insurance, provides a very fair cover price indeed, when it comes to Insuring ones vehicle fully comp. Check them out, & you will see what I'm referring too. Would I recommend Zenith Car Insurance? Yes. Honestly, JJM From Glasgow Scotland UK. :-) ;-)","100"
"2022-03-31","17:26:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245d6362b3c3c43cfc4c284","esure : Really easy to do insurance online…","Really easy to do insurance online already have another car policy with this company","100"
"2022-03-31","16:46:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245ccf12b3c3c43cfc4b4be","NFU Mutual : Go elsewhere","Useless, unhelpful, seemed keen just to terminate the call as quickly as possible regarding a quotation for car insurance, obviously not interested in helping at all and don’t need the business","20"
"2022-03-31","16:43:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245cc0a2b3c3c43cfc4b38c","Hastings Direct : Car insurance","Price of the insurance premium was the lowest of any of the established well-known brads and the switch was handled smoothly and without problems","100"
"2022-03-31","16:42:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245cbd32b3c3c43cfc4b331","Markerstudy : I've never seen a Trust Pilot rating for company that so bad","Listed below along with everyone else. HOW IS THIS COMPANY ALLOWED TO TRADE, HOW HAS THE FINANCIAL OMBUDSMAN NOT CLOSED THEM DOWN, more than 3 hour waits just to speak to someone, incompetence with not knowing the difference between 4th dimension (the company helping with my claim) and the third party insurers, Managing to accept to liability for a non fault accident without even speaking to the third party insurer, refusal to send written confirmation of anything requested, including engineers reports on vehicles, after sending two conflicting engineers reports on the state of the vehicle. This company is just a lying scumbag, that is absolutely no help to anyone when they need it the most. Will actively pursue insurance that does not involve this company in the future. I suggest you all do the same","20"
"2022-03-31","16:02:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245c288c7628b203b9e786a","Hastings Direct : Felt I was misled ….","Felt I was misled, ended up being involved with two policies for the same car. Money was taken for both, despite my current policy does not expire until 7/4/22. Very disappointed with the service I received, so cancelled both policies. Still waiting for the refund and have been charged £20 from each policy for cancelling. Not good recommendation from me.","40"
"2022-03-31","15:36:00 +0100 BST","Trustpilot Reviews","https://www.trustpilot.com/reviews/6245bc77c7628b203b9e6fd8","Zenith Insurance : Quick easy and simple","Not actually spoke to anyone in customer service but in terms of sorting car insurance out quick easy and simple","100"
